Systematic_ID,Gene_name,Gene_product,uniprot_id,FYPOviability,Transcript,Chr,Start,End,Strand,mRNA_gc_content,genomic_coding_region_length,gc_content_of_genomic_coding_region,num_exon_regions,total_cds_length,cds_fraction,cds_gc_content,average_cds_length,num_introns,total_intron_length,average_intron_length,intron_gc_content,primary_transcript,isoform_number,mRNA_abundance,RNA_abundance_in_spores,tAI,mRNA_synthesis_rate,mRNA_half_life,Mass (kDa),pI,Charge,protein_length,CAI,protein_abundance,protein_half_life,evolutionary_rate,dN_dS,Multifunctionality,Nc,co_expression_degree,Paralog,paralog_count
SPAC22F3.12c,rgs1,regulator of G-protein signaling Rgs1,Q09777,viable,SPAC22F3.12c.1,I,679803.0,681890.0,+,0.355,1446.0,0.376,1.0,1446.0,1.0,0.526,1446.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.38,1.2,0.355791763153727,,,54.36,8.01,5.28,481,0.62,,,0.663981042654028,0.1016,6.0,53.694,26.0,none,0.0
SPAC22F3.13,tsc1,"Rheb GAP, hamartin Tsc1",Q09778,viable,SPAC22F3.13.1,I,673984.0,678259.0,-,0.388,2700.0,0.386,1.0,2700.0,1.0,0.487,2700.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.2,10.94,0.355112604179904,0.111482720178372,12.08,103.43,5.31,-24.94,899,0.61,4449.8,15.76783,0.738625592417062,0.0995,8.0,51.915,277.0,none,0.0
SPAC22F3.15,aim41,"mitochondrial protien, implicated in tRNA metabolism Aim41",C6Y4B8,unknown,SPAC22F3.15.1,I,692567.0,693061.0,+,0.356,495.0,0.356,2.0,372.0,0.75,0.388,186.0,1.0,123.0,123.0,0.421,primary_transcript,1.0,0.8,39.82,0.35367938148923,0.0444642063139173,21.01,14.18,10.68,10.7,123,0.5,2881.26,7.387458,,0.135,3.0,52.833,0.0,,
SPAC22F8.02c,pvg5,"Golgi 4,6-pyruvylated galactose (PvGal) residue biosynthesis protein Pvg5",Q9UUJ0,viable,SPAC22F8.02c.1,I,4785162.0,4786280.0,-,0.377,1119.0,0.377,1.0,1119.0,1.0,0.421,1119.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.3,205.68,0.368061099298586,0.211864406779661,2.31,43.09,7.98,3.27,372,0.57,1100.56,,0.973696682464455,0.1809,5.0,49.27,158.0,none,0.0
SPAC22F8.03c,SPAC22F8.03c,Schizosaccharomyces pombe specific protein,Q9UUI9,viable,SPAC22F8.03c.1,I,4788494.0,4788895.0,-,0.409,402.0,0.408,1.0,402.0,1.0,0.5,402.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.034,,0.358940512710364,,,15.03,9.23,7.5,133,0.55,,,,,4.0,57.241,35.0,none,0.0
SPAC22F8.04,pet1,Golgi phosphoenolpyruvate transmembrane transporter Pet1,Q9UUI8,viable,SPAC22F8.04.1,I,4789421.0,4791232.0,+,0.386,1152.0,0.418,1.0,1152.0,1.0,0.447,1152.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.5,95.1,0.381798000190961,0.3584229390681,3.69,42.63,8.42,3.82,383,0.64,,9.643042,0.421563981042654,0.1834,4.0,57.284,136.0,none,0.0
SPAC22F8.05,SPAC22F8.05,"alpha,alpha-trehalose-phosphate synthase",Q9UUI7,viable,SPAC22F8.05.1,I,4791864.0,4795263.0,+,0.382,2676.0,0.406,1.0,2676.0,1.0,0.368,2676.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.8,398.62,0.37997604134368,0.0388198757763975,15.96,100.66,6.79,-3.14,891,0.6,6682.65,5.758421,0.422985781990521,0.4567,5.0,49.002,408.0,tps3,1.0
SPAC22F8.06,pam1,20S proteasome complex subunit beta 6 Pam1,Q9UQY2,inviable,SPAC22F8.06.1,I,4795356.0,4796348.0,+,0.376,678.0,0.413,1.0,678.0,1.0,0.447,678.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.8,55.28,0.387366765799488,0.735294117647059,21.52,25.08,7.59,1.34,225,0.56,24122.26,12.72432,0.128909952606635,0.0309,8.0,49.981,324.0,none,0.0
SPAC22F8.07c,rtf1,RNA polymerase I termination factor Rtf1,Q9UUI6,viable,SPAC22F8.07c.1,I,4797195.0,4799127.0,-,0.327,1662.0,0.332,7.0,1401.0,0.84,0.367,200.14,6.0,261.0,43.5,0.352,primary_transcript,1.0,1.5,26.48,0.335801505501393,0.189753320683112,7.59,55.22,8.68,10.58,466,0.59,,,0.946682464454976,1.9186,7.0,49.991,624.0,reb1,1.0
SPAC22F8.08,sec24,coincidence detector Sec24/Sfb2 subunit,Q9UUI5,inviable,SPAC22F8.08.1,I,4799595.0,4802652.0,+,0.404,2781.0,0.416,1.0,2781.0,1.0,0.487,2781.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,8.9,48.26,0.379755317932844,0.609756097560976,14.96,101.9,6.36,-5.82,926,0.56,16739.62,11.01374,0.251658767772512,0.0356,6.0,46.363,313.0,none,0.0
SPAC22F8.09,rrp16,rRNA processing protein Rrp16,Q9UUI4,viable,SPAC22F8.09.1,I,4803122.0,4804584.0,+,0.341,1315.0,0.351,2.0,1260.0,0.96,0.428,630.0,1.0,55.0,55.0,0.257,primary_transcript,1.0,4.1,55.8,0.37508955209883,0.555555555555556,22.23,48.13,10.46,27.95,419,0.55,2409.75,32.63496,0.619431279620853,0.1125,5.0,45.386,841.0,none,0.0
SPAC22F8.10c,sap145,U2 snRNP-associated protein Sap145,Q9UUI3,inviable,SPAC22F8.10c.1,I,4804513.0,4806419.0,-,0.392,1758.0,0.405,1.0,1758.0,1.0,0.461,1758.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.1,49.56,0.372263980329422,0.555555555555556,7.29,67.24,4.94,-18.59,585,0.58,1033.07,7.939792,0.506398104265403,0.0711,5.0,48.158,768.0,none,0.0
SPAC22F8.11,plc1,phosphoinositide phospholipase C Plc1,P40977,condition-dependent,SPAC22F8.11.1,I,4807571.0,4811555.0,+,0.359,2700.0,0.373,1.0,2700.0,1.0,0.474,2700.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.4,33.9,0.333198719867582,0.392156862745098,5.96,102.67,8.46,16.17,899,0.6,522.6,,0.553791469194313,0.0827,12.0,48.124,137.0,none,0.0
SPAC22F8.12c,shf1,histone H2B-K119 ubiquitin ligase complex (HULC) subunit Shf1,Q9UUI2,viable,SPAC22F8.12c.1,I,4807981.0,4811408.0,-,0.359,498.0,0.384,1.0,498.0,1.0,0.382,498.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.8,9.66,0.315481873782416,0.0816993464052288,9.6,18.92,8.95,4.36,165,0.57,556.64,7.325166,0.930568720379147,0.1864,7.0,48.882,409.0,none,0.0
SPAC22G7.01c,fra1,"iron responsive transcriptional regulator, peptidase family",Q09795,viable,SPAC22G7.01c.1,I,725865.0,728245.0,-,0.382,1996.0,0.397,3.0,1797.0,0.9,0.471,599.0,2.0,199.0,99.5,0.336,primary_transcript,1.0,5.0,46.54,0.37182021863403,0.134228187919463,26.51,66.68,5.87,-10.43,598,0.56,19238.71,13.02807,0.283886255924171,0.0395,5.0,47.309,136.0,none,0.0
SPAC22G7.02,kap111,karyopherin/importin beta family nuclear import signal receptor Kap111,Q09796,condition-dependent,SPAC22G7.02.1,I,728345.0,731867.0,+,0.357,3287.0,0.362,8.0,2973.0,0.9,0.418,371.62,7.0,314.0,44.86,0.367,primary_transcript,1.0,1.9,19.4,0.342419456646301,0.0984251968503937,7.87,111.47,4.43,-42.05,990,0.64,562.54,,0.713744075829384,0.0716,9.0,52.407,133.0,none,0.0
SPAC22G7.03,SPAC22G7.03,Schizosaccharomyces specific protein,Q09797,viable,SPAC22G7.03.1,I,731928.0,732759.0,+,0.33,711.0,0.347,1.0,711.0,1.0,0.434,711.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.21,21.66,0.322128541899418,0.0309789343246592,16.69,26.87,6.94,-0.26,236,0.54,,,0.993838862559242,0.1996,4.0,46.93,624.0,none,0.0
SPAC22G7.04,pan2,PAN complex (poly(A)-specific ribonuclease) ubiquitin C-terminal hydrolase subunit Pan2,Q09798,viable,SPAC22G7.04.1,I,732822.0,736603.0,+,0.361,3586.0,0.365,7.0,3267.0,0.91,0.422,466.71,6.0,319.0,53.17,0.354,primary_transcript,1.0,2.1,20.44,0.346197402804421,0.125156445556946,12.54,123.87,5.79,-17.57,1088,0.59,2267.01,8.753948,0.329620853080569,0.0528,7.0,49.041,126.0,none,0.0
SPAC22G7.05,kri1,ribosome biogenesis protein Kri1,Q09799,viable,SPAC22G7.05.1,I,736782.0,738782.0,+,0.366,1924.0,0.372,2.0,1797.0,0.93,0.474,898.5,1.0,127.0,127.0,0.355,primary_transcript,1.0,4.3,42.5,0.384344186314973,0.123456790123457,23.25,69.52,4.66,-32.21,598,0.59,5523.69,12.46992,0.501895734597156,0.0787,4.0,49.759,907.0,none,0.0
SPAC22G7.06c,ura1,trifunctional GLNase (glutamine amidotransferase)/CPSase (carbamoylphosphate synthetase)/ATCase (aspartate transcarbamoylase) Ura1,Q09794,viable,SPAC22G7.06c.1,I,739167.0,746114.0,-,0.401,6735.0,0.404,1.0,6735.0,1.0,0.434,6735.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,28.0,80.09,0.411911893134466,0.775193798449612,43.49,248.31,5.72,-36.01,2244,0.54,31124.3,17.62413,0.117535545023697,0.0251,9.0,42.722,378.0,none,0.0
SPAC22G7.07c,ime4,mRNA (N6-adenosine)-methyltransferase Ime4,Q09800,viable,SPAC22G7.07c.1,I,746537.0,748649.0,-,0.353,1260.0,0.375,1.0,1260.0,1.0,0.434,1260.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.72,62.45,0.337489600989499,0.0308546744831842,13.9,48.05,8.65,7.43,419,0.59,,,,0.1817,4.0,49.558,80.0,none,0.0
SPAC22G7.08,ppk8,serine/threonine protein kinase Ppk8,Q09792,viable,SPAC22G7.08.1,I,749482.0,751846.0,+,0.343,1659.0,0.353,2.0,1542.0,0.93,0.408,771.0,1.0,117.0,117.0,0.289,primary_transcript,1.0,1.3,93.37,0.34230977257325,0.306748466257669,0.86,58.55,9.28,15.11,513,0.59,,,0.875592417061611,0.1305,7.0,49.708,321.0,oca2,1.0
SPAC22G7.09c,nup45,nucleoporin Nup45,Q09793,inviable,SPAC22G7.09c.1,I,751647.0,753405.0,-,0.384,1538.0,0.397,6.0,1278.0,0.83,0.452,213.0,5.0,260.0,52.0,0.345,primary_transcript,1.0,5.0,31.64,0.377067661675254,0.0831946755407654,17.9,44.98,4.87,-6.27,425,0.55,2510.69,9.679677,0.497630331753554,0.0794,7.0,51.02,184.0,none,0.0
SPAC22G7.10,iss1,mRNA cleavage and polyadenylation specificity factor complex subunit Iss1,Q09801,inviable,SPAC22G7.10.1,I,753671.0,755676.0,+,0.4,1127.0,0.413,3.0,1035.0,0.92,0.429,345.0,2.0,92.0,46.0,0.338,primary_transcript,1.0,5.5,209.12,0.350306615696885,0.179533213644524,19.55,37.29,4.67,-14.1,344,0.54,5543.89,12.32934,0.60260663507109,0.0973,6.0,45.412,103.0,none,0.0
SPAC22G7.11c,cum1,Con-6 family conserved fungal protein,Q09802,viable,SPAC22G7.11c.1,I,754932.0,755871.0,-,0.386,423.0,0.442,1.0,423.0,1.0,0.474,423.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.45,19562.25,0.409231294937507,0.0352609308885755,6.44,15.43,4.01,-19.27,140,0.52,,,0.840995260663507,0.3633,4.0,52.944,252.0,SPAC11D3.01c|SPAC869.09,2.0
SPAC22H10.02,SPAC22H10.02,DUF4452 family conserved fungal protein,Q10296,viable,SPAC22H10.02.1,I,2371704.0,2372900.0,+,0.344,621.0,0.39,3.0,417.0,0.67,0.415,139.0,2.0,204.0,102.0,0.428,primary_transcript,1.0,2.3,139.27,0.378579795338222,0.172117039586919,1.82,15.24,6.95,-0.08,138,0.52,,0.9939674,0.599289099526066,0.0945,4.0,43.842,397.0,none,0.0
SPAC22H10.03c,kap114,karyopherin/importin beta family nuclear import signal receptor Kap14,Q10297,viable,SPAC22H10.03c.1,I,2373052.0,2376552.0,-,0.365,3242.0,0.371,7.0,2982.0,0.92,0.425,426.0,6.0,260.0,43.33,0.382,primary_transcript,1.0,1.9,15.79,0.369009800495477,0.198412698412698,11.16,111.86,4.19,-71.04,993,0.59,6390.62,9.968069,0.63957345971564,0.087,8.0,50.78,36.0,none,0.0
SPAC22H10.04,ppa3,serine/threonine protein phosphatase PP2A catalytic subunit Ppa3,Q10298,viable,SPAC22H10.04.1,I,2377057.0,2378678.0,+,0.353,1102.0,0.372,3.0,924.0,0.84,0.408,308.0,2.0,178.0,89.0,0.362,primary_transcript,1.0,0.67,13.46,0.340697533695147,0.143884892086331,4.2,35.18,4.82,-10.56,307,0.6,555.09,,0.0886255924170616,0.0215,7.0,54.232,158.0,none,0.0
SPAC22H10.05c,SPAC22H10.05c,mRNA cleavage and polyadenylation specificity factor complex polyribonucleotide 5'-hydroxyl-kinase subunit,Q10299,inviable,SPAC22H10.05c.1,I,2377677.0,2380299.0,-,0.375,1516.0,0.387,2.0,1371.0,0.9,0.474,685.5,1.0,145.0,145.0,0.316,primary_transcript,1.0,2.9,61.62,0.373689711061311,0.0552791597567717,23.46,50.45,4.55,-20.38,456,0.56,3723.66,14.14846,0.237440758293839,0.0499,6.0,47.686,181.0,none,0.0
SPAC22H10.06c,SPAC22H10.06c,dubious,Q10300,unknown,SPAC22H10.06c.1,I,2381320.0,2381601.0,-,0.327,282.0,0.326,1.0,282.0,1.0,0.434,282.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.1,,,,,10.84,10.31,11.57,93,0.5,,,,,,42.932,32.0,,
SPAC22H10.07,scd2,Cdc42 GTPase complex scaffold subunit Scd2,P40996,viable,SPAC22H10.07.1,I,2382504.0,2385153.0,+,0.362,1664.0,0.401,2.0,1611.0,0.97,0.394,805.5,1.0,53.0,53.0,0.306,primary_transcript,1.0,3.2,15.93,0.361235231933232,0.146412884333821,2.38,60.04,5.61,-7.28,536,0.58,900.95,5.37508,0.592417061611374,0.0817,9.0,47.537,142.0,none,0.0
SPAC22H10.08,SPAC22H10.08,"DUF2009 family protein, conserved in yeast and apicomplexa",Q10301,viable,SPAC22H10.08.1,I,2385718.0,2387654.0,+,0.351,1535.0,0.368,2.0,1479.0,0.96,0.467,739.5,1.0,56.0,56.0,0.307,primary_transcript,1.0,1.4,49.16,0.348617549659478,,,56.53,6.39,-4.19,492,0.57,1501.84,10.10126,0.239099526066351,0.0509,4.0,48.554,696.0,SPCC16A11.03c,1.0
SPAC22H10.09,cbp8,"mitochondrial translational activator for cob1, PPR repeat, Cbp8",Q10302,viable,SPAC22H10.09.1,I,2387536.0,2389909.0,+,0.32,1941.0,0.323,1.0,1941.0,1.0,0.382,1941.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.0,7.45,0.331476921714651,,,76.2,9.88,33.49,646,0.6,,,,0.2087,3.0,51.387,58.0,none,0.0
SPAC22H10.10,alp21,tubulin specific chaperone cofactor E,Q10303,inviable,SPAC22H10.10.1,I,2389936.0,2391943.0,+,0.329,1705.0,0.336,5.0,1536.0,0.9,0.374,307.2,4.0,169.0,42.25,0.38,primary_transcript,1.0,0.82,12.22,0.338199621125696,0.0537056928034372,4.53,58.59,6.79,-1.31,511,0.61,,,0.926303317535545,0.1577,8.0,51.199,283.0,none,0.0
SPAC22H10.11c,crf1,transcriptional coactivator for ribosomal proteins via TOR signaling pathway Crf1/Ifh1,Q10304,viable,SPAC22H10.11c.1,I,2391946.0,2394296.0,-,0.366,1890.0,0.379,1.0,1890.0,1.0,0.408,1890.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.9,94.61,0.358330329838577,0.50251256281407,6.23,71.27,4.63,-33.4,629,0.56,222.37,1.474239,0.863507109004739,0.1079,5.0,47.539,71.0,none,0.0
SPAC22H10.12c,gdi1,GDP dissociation inhibitor Gdi1,Q10305,inviable,SPAC22H10.12c.1,I,2395068.0,2396845.0,-,0.376,1408.0,0.401,2.0,1323.0,0.94,0.428,661.5,1.0,85.0,85.0,0.447,primary_transcript,1.0,4.6,147.93,0.38778658754323,0.352112676056338,28.64,49.56,6.03,-3.73,440,0.61,11998.66,11.69382,0.0409952606635071,0.019,9.0,49.688,315.0,none,0.0
SPAC22H10.13,zym1,metallothionein Zym1,Q9UTC0,viable,SPAC22H10.13.1,I,2381666.0,2382200.0,+,0.39,153.0,0.471,1.0,153.0,1.0,0.487,153.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.7,22706.6,0.438828392533034,0.0114942528735632,15.5,5.32,8.16,3.85,50,0.32,,150.0,,,5.0,39.921,220.0,none,0.0
SPAC22H12.01c,mug35,Schizosaccharomyces specific protein Mug35,O94435,viable,SPAC22H12.01c.1,I,893278.0,894487.0,-,0.352,705.0,0.403,1.0,705.0,1.0,0.395,705.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.5,83.22,0.367036767299331,0.337837837837838,11.58,27.52,5.93,-4.37,234,0.59,17342.8,12.57443,0.906872037914692,0.2109,3.0,54.055,428.0,none,0.0
SPAC22H12.02,tfg3,"TFIID, TFIIF, Ino80, SWI/SNF, and NuA4 complex YEATS family subunit Tfg3",O94436,viable,SPAC22H12.02.1,I,894999.0,896547.0,+,0.362,1036.0,0.383,4.0,726.0,0.7,0.46,181.5,3.0,310.0,103.33,0.395,primary_transcript,1.0,5.6,43.92,0.359294553554025,0.277777777777778,24.11,27.64,5.42,-6.37,241,0.6,3638.64,12.74098,0.186492890995261,0.0392,11.0,58.388,312.0,none,0.0
SPAC22H12.03,pah2,mitochondrial palmitoyl-(protein) hydrolas hydrolase Pah2,O94437,viable,SPAC22H12.03.1,I,896770.0,897900.0,+,0.353,891.0,0.364,2.0,813.0,0.91,0.447,406.5,2.0,125.0,62.5,0.352,primary_transcript,1.0,0.57,17.34,0.354918018655385,0.109409190371991,9.06,30.75,9.65,10.55,270,0.62,2535.36,11.88818,0.627962085308057,0.0967,3.0,54.832,189.0,none,0.0
SPAC22H12.04c,rps102,40S ribosomal protein S3a,O94438,viable,SPAC22H12.04c.1,I,898045.0,898962.0,-,0.444,759.0,0.46,1.0,759.0,1.0,0.474,759.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,110.0,3110.96,0.540313911921859,1.03092783505155,79.52,28.52,10.88,24.62,252,0.54,84511.14,50.03817,0.0274881516587678,0.0456,4.0,41.911,296.0,rps101,1.0
SPAC22H12.05c,fsc1,fasciclin domain protein Fsc1,O94439,viable,SPAC22H12.05c.1,I,899283.0,901770.0,-,0.35,2187.0,0.363,1.0,2187.0,1.0,0.461,2187.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.84,27.54,0.34519018370629,0.105932203389831,9.59,82.59,5.75,-7.63,728,0.58,,16.88597,0.761611374407583,0.1081,5.0,47.785,104.0,none,0.0
SPAC23A1.02c,ted1,GPI-remodelling mannose-ethanolamine phosphate phosphodiesterase Ted1,O42841,viable,SPAC23A1.02c.1,I,4081483.0,4083505.0,-,0.368,1293.0,0.394,1.0,1293.0,1.0,0.382,1293.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.6,21.29,0.346943573172022,,,48.66,7.74,3.92,430,0.67,1045.53,,0.716824644549763,0.0895,4.0,56.069,85.0,none,0.0
SPAC23A1.03,apt1,adenine phosphoribosyltransferase (APRT) Apt1,O42842,viable,SPAC23A1.03.1,I,4083656.0,4084596.0,+,0.359,745.0,0.388,2.0,567.0,0.76,0.408,283.5,1.0,178.0,178.0,0.447,primary_transcript,1.0,12.0,35.06,0.426875602774658,0.0434027777777778,27.2,20.75,4.6,-5.79,188,0.49,22885.67,12.65828,0.208293838862559,0.0865,8.0,43.888,497.0,none,0.0
SPAC23A1.04c,mnl1,alpha mannosidase Mnl1,O94726,viable,SPAC23A1.04c.1,I,4084455.0,4087646.0,-,0.357,2421.0,0.383,2.0,2364.0,0.98,0.454,1182.0,1.0,57.0,57.0,0.342,primary_transcript,1.0,1.3,15.78,0.346385267273611,0.172117039586919,1.94,89.32,5.12,-17.73,787,0.63,265.02,,0.746445497630332,0.0997,10.0,52.735,132.0,none,0.0
SPAC23A1.05,tsc3,"SPOTS complex subunit, serine palmitoyltransferase activator Tsc3",O42843,inviable,SPAC23A1.05.1,I,4088731.0,4089782.0,+,0.321,306.0,0.376,1.0,306.0,1.0,0.395,306.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.2,93.04,0.389848995586452,0.3003003003003,8.2,11.65,9.68,3.94,101,0.51,,,0.651658767772512,0.1015,5.0,47.78,187.0,none,0.0
SPAC23A1.06c,cmk2,MAPK-activated protein kinase Cmk2,O42844,viable,SPAC23A1.06c.1,I,4089794.0,4092099.0,-,0.365,1922.0,0.372,4.0,1515.0,0.79,0.427,378.75,3.0,407.0,135.67,0.37,primary_transcript,1.0,1.5,108.9,0.364328116013191,0.578034682080925,2.06,56.61,6.47,-5.01,504,0.58,2428.18,6.185265,0.469905213270142,0.0772,13.0,49.994,235.0,srk1,1.0
SPAC23A1.07,rnf170,ubiquitin-protein ligase E3 Rnf170,O42845,viable,SPAC23A1.07.1,I,4092122.0,4093122.0,+,0.363,756.0,0.396,1.0,756.0,1.0,0.487,756.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.2,51.38,0.322461360552637,0.15748031496063,8.19,28.21,8.88,9.37,251,0.63,,,0.977014218009479,0.1809,4.0,55.289,233.0,none,0.0
SPAC23A1.08c,rpl3401,60S ribosomal protein L34,O42846,inviable,SPAC23A1.08c.1,I,4093344.0,4093798.0,-,0.436,339.0,0.475,1.0,339.0,1.0,0.421,339.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,110.0,4905.42,0.542835362860514,0.446428571428571,48.87,12.87,12.01,21.39,112,0.46,157779.05,67.35298,0.0234597156398104,0.0807,4.0,39.075,235.0,rpl3402,1.0
SPAC23A1.09,rbm8,"exon junction complex subunit, RNA-binding protein Rbm8",O42847,viable,SPAC23A1.09.1,I,4094025.0,4095148.0,+,0.351,366.0,0.429,1.0,366.0,1.0,0.434,366.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.9,58.47,0.337172002087664,0.383141762452107,5.94,13.68,4.69,-6.28,121,0.5,,11.35901,0.287677725118483,0.0694,4.0,50.072,204.0,none,0.0
SPAC23A1.10,tef102,translation elongation factor EF-1 alpha Ef1a-b,P0CT54,viable,SPAC23A1.10.1,I,4095132.0,4096584.0,+,0.499,1383.0,0.506,1.0,1383.0,1.0,0.447,1383.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,190.0,4689.41,0.580963643653374,0.309597523219814,56.71,49.67,9.5,14.17,460,0.44,1124757.34,21.73227,0.0144549763033175,0.0798,7.0,29.448,19.0,tef103|tef101,2.0
SPAC23A1.11,rpl1602,60S ribosomal protein L13/L16,O42848,viable,SPAC23A1.11.1,I,4097326.0,4098123.0,+,0.444,649.0,0.475,2.0,594.0,0.92,0.522,297.0,1.0,55.0,55.0,0.311,primary_transcript,1.0,110.0,1998.34,0.542431765616839,0.581395348837209,117.63,22.0,11.22,29.08,197,0.5,90460.46,150.0,0.0341232227488152,0.0402,5.0,38.261,326.0,rpl1603|rpl1601,2.0
SPAC23A1.12c,frs1,cytoplasmic phenylalanine-tRNA ligase beta subunit Frs1,O42849,inviable,SPAC23A1.12c.1,I,4098246.0,4100159.0,-,0.409,1821.0,0.416,2.0,1770.0,0.97,0.49,885.0,1.0,51.0,51.0,0.371,primary_transcript,1.0,17.0,57.5,0.407086080891137,0.518134715025907,35.94,66.85,5.14,-16.08,589,0.61,49348.06,15.11895,0.188625592417062,0.0424,9.0,49.535,166.0,none,0.0
SPAC23A1.14c,SPAC23A1.14c,"pyridoxal phosphate-dependent transferase, possible cystathionine beta-lyase implicated in sulfur metabolism",O42851,viable,SPAC23A1.14c.1,I,4101276.0,4103208.0,-,0.385,1197.0,0.429,1.0,1197.0,1.0,0.447,1197.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,5.6,39.5,0.402378813203033,0.184842883548983,6.93,43.28,6.45,-4.51,398,0.57,9126.38,4.684208,0.440758293838863,0.0726,4.0,47.026,478.0,none,0.0
SPAC23A1.15c,sec20,SNARE Sec20,O42852,viable,SPAC23A1.15c.1,I,4103733.0,4104718.0,-,0.368,681.0,0.394,1.0,681.0,1.0,0.434,681.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.0,129.22,0.338369595879071,,,26.29,4.9,-5.51,226,0.61,,10.26861,0.74478672985782,0.1123,7.0,56.107,167.0,none,0.0
SPAC23A1.16c,rtr1,RNA polymerase II CTD phosphatase Rtr1,O42853,inviable,SPAC23A1.16c.1,I,4104690.0,4105737.0,-,0.367,594.0,0.397,1.0,594.0,1.0,0.408,594.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.66,37.79,0.359027627605218,,,23.22,7.82,1.32,197,0.55,,5.739431,0.589099526066351,0.1314,6.0,48.811,24.0,none,0.0
SPAC23A1.17,bbc1,WIP family cytoskeletal protein Bbc1,O42854,viable,SPAC23A1.17.1,I,4106648.0,4112044.0,+,0.452,4836.0,0.47,1.0,4836.0,1.0,0.474,4836.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,9.2,13.7,0.382106007344328,0.0900900900900901,14.99,170.53,5.61,-30.4,1611,0.59,9392.78,13.52773,0.914454976303318,0.1141,6.0,49.683,73.0,none,0.0
SPAC23A1.18c,mrp51,mitochondrial ribosomal protein subunit L51-bS1m,O42855,inviable,SPAC23A1.18c.1,I,4111970.0,4113658.0,-,0.361,912.0,0.402,1.0,912.0,1.0,0.408,912.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.2,155.03,0.335319270149462,0.335570469798658,2.97,34.43,10.32,16.59,303,0.59,769.89,9.675327,0.884123222748815,0.1829,6.0,50.351,191.0,mug178,1.0
SPAC23A1.19c,hrq1,RecQ type DNA helicase Hrq1,O13983,condition-dependent,SPAC23A1.19c.1,I,4113673.0,4117214.0,-,0.359,3367.0,0.361,2.0,3192.0,0.95,0.441,1596.0,1.0,175.0,175.0,0.342,primary_transcript,1.0,1.3,10.52,0.34949207776346,0.0339443312966735,9.38,120.97,8.13,11.0,1063,0.6,,,0.4739336492891,0.0759,4.0,49.426,180.0,none,0.0
SPAC23A1.20,new11,Schizosaccharomyces specific protein New11,,unknown,SPAC23A1.20.1,I,4100755.0,4101275.0,-,0.433,521.0,0.434,2.0,519.0,1.0,0.444,259.5,1.0,2.0,2.0,0.524,primary_transcript,1.0,1.2,43.02,0.354067635226945,0.0699300699300699,10.49,19.32,8.22,3.03,172,0.62,,,,,,,,,
SPAC23C11.01,ice2,ER membrane protein involved triglyceride mobilization ICE2 family,O13909,viable,SPAC23C11.01.1,I,2133215.0,2136010.0,+,0.359,1583.0,0.354,5.0,1326.0,0.84,0.408,265.2,4.0,257.0,64.25,0.343,primary_transcript,1.0,1.4,79.52,0.339297027885984,0.168350168350168,3.16,49.17,6.31,-3.2,441,0.61,,,0.343838862559242,0.0668,5.0,55.014,121.0,none,0.0
SPAC23C11.02c,rps23,40S ribosomal protein S23,P0CT75,viable,SPAC23C11.02c.1,I,2135325.0,2135810.0,-,0.46,432.0,0.475,1.0,432.0,1.0,0.461,432.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,69.0,4025.38,0.528333825438049,0.99009900990099,71.83,15.66,11.05,19.12,143,0.46,,119.6835,0.00402843601895735,0.009,5.0,33.912,259.0,rps2302,1.0
