complex_term_id	GO_term_name	systematic_id	symbol	gene_product_description	UniProt_ID	evidence_code	source	assigned_by
GO:0005684	U2-type spliceosomal complex	SPBC1711.17	prp16	ATP-dependent RNA helicase, splicosomal Prp16	Q9P774	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPBC18H10.10c	saf4	splicing associated factor Saf4	O60141	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPBC24C6.11	cwf14	G10 protein	O74772	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPBC646.02	cwf11	U2-type spliceosomal complex ATPase Cwf11	O94508	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPCC10H11.02	cwf23	DNAJ domain protein Cwf23	Q9P7C6	ISO	GO_REF:0000024	PomBase
GO:0005684	U2-type spliceosomal complex	SPCC1620.10	cwf26	complexed with Cdc5 protein Cwf26	O94417	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPCC663.11	saf1	splicing associated factor Saf1	O74517	IDA	PMID:21386897	PomBase
GO:0005684	U2-type spliceosomal complex	SPCP1E11.07c	cwf18	complexed with Cdc5 protein Cwf18	Q9UU80	IDA	PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPAC19A8.13	usp101	U1 snRNP-associated protein Usp101	O13829	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPAC23D3.08	usp108	U1 snRNP-associated protein Usp108	Q09848	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPAC26A3.08	smb1	Sm snRNP core protein Smb1	Q10163	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPAC27D7.07c	smd1	Sm snRNP core protein Smd1	O42661	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPAC2C4.03c	smd2	Sm snRNP core protein Smd2	O14036	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPAC4D7.13	prp40	U1 snRNP-associated protein Prp40	O14176	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPBC11G11.06c	sme1	Sm snRNP core protein Sme1	Q9USZ3	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPBC1289.12	usp109	U1 snRNP-associated protein Usp109	O94621	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPBC19C2.14	smd3	Sm snRNP core protein Smd3	Q9UUC6	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPBC23E6.01c	cxr1	splicing factor, RNA-binding Cxr1	O60176	ISO	GO_REF:0000024	PomBase
GO:0005685	U1 snRNP	SPBC3E7.14	smf1	Sm snRNP core protein Smf1	O59734	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPBC4B4.05	smg1	Sm snRNP core protein Smg1	O74966	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPBC4B4.07c	usp102	U1 snRNP-associated protein Usp102	O74968	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPBC4B4.09	prp39	U1 snRNP-associated protein Prp39	O74970	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPBC839.10	usp107	U1 snRNP-associated protein Usp107	Q8WZK0	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPBP35G2.09	usp103	U1 snRNP-associated protein Usp103	Q9P794	IDA	PMID:17264129	PomBase
GO:0005685	U1 snRNP	SPCC16A11.13	luc7	U1 snRNP-associated protein Luc7	Q9USM4	IDA	PMID:17264129,PMID:21386897	PomBase
GO:0005685	U1 snRNP	SPSNRNA.01	snu1	small nuclear RNA U1		NAS	GO_REF:0000051	PomBase
GO:0005686	U2 snRNP	SPAC22A12.09c	sap114	U2 snRNP-associated protein Sap114	O13900	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPAC22F8.10c	sap145	U2 snRNP-associated protein Sap145	Q9UUI3	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC23H3.02c	ini1	U2 snRNP-associated RING finger-like protein Ini1	Q9UTB8	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC26A3.08	smb1	Sm snRNP core protein Smb1	Q10163	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC27D7.07c	smd1	Sm snRNP core protein Smd1	O42661	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC27F1.09c	prp10	U2 snRNP-associated protein SF3B1	Q10178	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC2C4.03c	smd2	Sm snRNP core protein Smd2	O14036	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPAC2F3.17c	lsm6	Lsm2-8 complex subunit Lsm6	Q9UUI1	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPAC31G5.01	sap49	U2 snRNP-associated RNA-binding protein Sap49	O14102	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPAPJ698.03c	prp12	U2 snRNP-associated protein, WD repeat protein Sap130	Q9UTT2	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC11C11.01	SPBC11C11.01	U2-associated protein, possibly RNA pol II CTD binding via CID domain	Q10200	ISS	GO_REF:0000024	PomBase
GO:0005686	U2 snRNP	SPBC11G11.06c	sme1	Sm snRNP core protein Sme1	Q9USZ3	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC1289.02c	uap2	U2 snRNP-associated protein Uap2	O43120	IPI	PMID:9371883	PomBase
GO:0005686	U2 snRNP	SPBC146.07	prp2	U2 small nuclear RNA auxiliary factor small subunit, U2AF-59	P36629	IDA	PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC1861.08c	lea1	U2 snRNP-associated protein Lea1	Q9USX8	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPBC1861.08c	lea1	U2 snRNP-associated protein Lea1	Q9USX8	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC19C2.14	smd3	Sm snRNP core protein Smd3	Q9UUC6	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC20F10.09	lsm5	Lsm2-8 complex subunit Lsm5	O42978	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPBC211.05	sap10	splicing factor 3B	Q9P7R6	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPBC21C3.05	sap62	U2 snRNP-associated protein Sap62	Q9P7L8	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPBC29A3.07c	sap14	U2 snRNP-associated protein SF3B14 Sap14	O59670	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPBC30D10.06	lsm4	Lsm2-8 complex subunit Lsm4	O14352	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPBC36.09	sap61	U2 snRNP-associated protein sap61	O59706	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC3E7.14	smf1	Sm snRNP core protein Smf1	O59734	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC4B4.05	smg1	Sm snRNP core protein Smg1	O74966	IDA	PMID:21386897,PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC887.05c	cwf29	U2 snRNP-associated RNA-binding protein Cwf29	O94290	IDA	PMID:21386897	PomBase
GO:0005686	U2 snRNP	SPBC8D2.09c	msl1	U2 snRNP-associated protein Msl1	Q7LL14	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPBC8D2.09c	msl1	U2 snRNP-associated protein Msl1	Q7LL14	IDA	PMID:24014766	PomBase
GO:0005686	U2 snRNP	SPBC9B6.05c	lsm3	Lsm2-8 complex subunit Lsm3	Q9Y7M4	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPCC1620.01c	lsm2	Lsm2-8 complex subunit Lsm2	O94408	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPCC1840.10	lsm8	Lsm2-8 complex subunit Lsm8	O74483	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPCC285.12	lsm7	Lsm2-8 complex subunit Lsm7	O74499	EXP	PMID:26292707	PomBase
GO:0005686	U2 snRNP	SPSNRNA.02	snu2	small nuclear RNA U2		EXP	PMID:26292707	PomBase
GO:0005687	U4 snRNP	SPAC26A3.08	smb1	Sm snRNP core protein Smb1	Q10163	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPAC27D7.07c	smd1	Sm snRNP core protein Smd1	O42661	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPBC119.13c	prp31	U4/U6 x U5 tri-snRNP complex subunit Prp31	O42904	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPBC11G11.06c	sme1	Sm snRNP core protein Sme1	Q9USZ3	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPBC19C2.14	smd3	Sm snRNP core protein Smd3	Q9UUC6	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPBC4B4.05	smg1	Sm snRNP core protein Smg1	O74966	IBA	GO_REF:0000033	GO_Central
GO:0005687	U4 snRNP	SPSNRNA.04	snu4	small nuclear RNA U4		NAS	GO_REF:0000051	PomBase
GO:0005688	U6 snRNP	SPAC2F3.17c	lsm6	Lsm2-8 complex subunit Lsm6	Q9UUI1	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPBC1861.04c	prp24	RNA-binding protein Prp24	Q9USY2	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPBC20F10.09	lsm5	Lsm2-8 complex subunit Lsm5	O42978	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPBC30D10.06	lsm4	Lsm2-8 complex subunit Lsm4	O14352	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPBC9B6.05c	lsm3	Lsm2-8 complex subunit Lsm3	Q9Y7M4	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPCC1620.01c	lsm2	Lsm2-8 complex subunit Lsm2	O94408	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPCC1840.10	lsm8	Lsm2-8 complex subunit Lsm8	O74483	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPCC285.12	lsm7	Lsm2-8 complex subunit Lsm7	O74499	EXP	PMID:32518066	PomBase
GO:0005688	U6 snRNP	SPSNRNA.06	snu6	small nuclear RNA U6		EXP	PMID:32518066	PomBase
GO:0005697	telomerase holoenzyme complex	SPAC17G6.17	pof8	LARP7 family RNA-binding protein Pof8/Lar7	O13795	EXP	PMID:29422503,PMID:33378677,PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPAC17G6.17	pof8	LARP7 family RNA-binding protein Pof8/Lar7	O13795	IMP	PMID:29422664	UniProt
GO:0005697	telomerase holoenzyme complex	SPAC2F3.17c	lsm6	Lsm2-8 complex subunit Lsm6	Q9UUI1	EXP	PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPAC6F6.16c	tpz1	shelterin complex subunit Tpz1	O14246	IEA	GO_REF:0000002	InterPro
GO:0005697	telomerase holoenzyme complex	SPBC20F10.09	lsm5	Lsm2-8 complex subunit Lsm5	O42978	EXP	PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPBC29A3.14c	trt1	telomerase reverse transcriptase 1 protein Trt1	O13339	IDA	PMID:18157152	PomBase
GO:0005697	telomerase holoenzyme complex	SPBC2A9.10	bmc1	Bin3 family, RNA methyltransferase Bmc1	Q9Y7L2	EXP	PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPBC2D10.13	est1	telomerase regulator Est1	O74804	IPI	PMID:18157149	PomBase
GO:0005697	telomerase holoenzyme complex	SPBC2F12.03c	esl1	EST1 family protein, implicated in NMD	O14338	IBA	GO_REF:0000033	GO_Central
GO:0005697	telomerase holoenzyme complex	SPBC30D10.06	lsm4	Lsm2-8 complex subunit Lsm4	O14352	TAS	PMID:29422501	PomBase
GO:0005697	telomerase holoenzyme complex	SPBC9B6.05c	lsm3	Lsm2-8 complex subunit Lsm3	Q9Y7M4	TAS	PMID:29422501	PomBase
GO:0005697	telomerase holoenzyme complex	SPCC1620.01c	lsm2	Lsm2-8 complex subunit Lsm2	O94408	EXP	PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPCC1840.10	lsm8	Lsm2-8 complex subunit Lsm8	O74483	EXP	PMID:35277511	PomBase
GO:0005697	telomerase holoenzyme complex	SPCC285.12	lsm7	Lsm2-8 complex subunit Lsm7	O74499	EXP	PMID:35277511	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC17G6.17	pof8	LARP7 family RNA-binding protein Pof8/Lar7	O13795	EXP	PMID:37403782	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC18B11.06	lcp5	U3 snoRNP-associated protein Lcp5	Q09713	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC23C11.03	mpp10	U3 snoRNP-associated protein Mpp10	O13910	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC2F3.17c	lsm6	Lsm2-8 complex subunit Lsm6	Q9UUI1	IBA	GO_REF:0000033	GO_Central
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC4F8.04	rpf1	Brix domain protein Rpf1	O14180	ISS	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC926.08c	rpf2	Brix domain ribosome biogenesis protein Rpf2	Q9UUG1	ISS	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPAC959.03c	utp7	small subunit processome, U3 snoRNP-associated protein Utp7	Q9P4X3	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBC20F10.09	lsm5	Lsm2-8 complex subunit Lsm5	O42978	ISS	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBC244.02c	utp6	U3 snoRNP-associated protein Utp6	O60188	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBC2A9.10	bmc1	Bin3 family, RNA methyltransferase Bmc1	Q9Y7L2	EXP	PMID:37403782	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBC30D10.15	naf1	snoRNP assembly factor Naf1	O14360	IBA	GO_REF:0000033	GO_Central
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBC713.04c	pwp2	small subunit processome, U3 snoRNP-associated protein Utp1	Q9C1X1	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPBP8B7.10c	utp16	U3 snoRNP-associated protein Utp16	O94259	ISO	GO_REF:0000024	PomBase
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	SPCC18B5.09c	thc1	RRM RNA binding protein involved in snRNA processing Thc1	Q9USL2	EXP	PMID:37403782	PomBase
GO:0005736	RNA polymerase I complex	SPAC1071.08	rpp203	60S acidic ribosomal protein A2	O14317	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPAC1687.01	rpc19	DNA-directed RNA polymerase I and III subunit Rpc19	Q09177	IDA	PMID:10102372,PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPAC1687.01	rpc19	DNA-directed RNA polymerase I and III subunit Rpc19	Q09177	IGI	PMID:10079952	PomBase
GO:0005736	RNA polymerase I complex	SPAC1B3.12c	rpb10	DNA-directed RNA polymerase I, II, and III subunit Rpb10	O13877	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPAC1B3.12c	rpb10	DNA-directed RNA polymerase I, II, and III subunit Rpb10	O13877	IGI	PMID:9157844	PomBase
GO:0005736	RNA polymerase I complex	SPAC23C4.15	rpb5	DNA-directed RNA polymerase I, II and III subunit Rpb5	Q09191	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPAC23C4.15	rpb5	DNA-directed RNA polymerase I, II and III subunit Rpb5	Q09191	IGI	PMID:10653691	PomBase
GO:0005736	RNA polymerase I complex	SPAC2F3.03c	rpa49	DNA-directed RNA polymerase I complex subunit Rpa49	O14086	IDA	PMID:12893961	PomBase
GO:0005736	RNA polymerase I complex	SPBC11G11.05	rpa34	DNA-directed RNA polymerase I complex subunit Rpa34	Q9USZ4	ISS	GO_REF:0000024	PomBase
GO:0005736	RNA polymerase I complex	SPBC1289.07c	rpc40	DNA-directed RNA polymerase I and III subunit Rpc40	O94616	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBC1289.07c	rpc40	DNA-directed RNA polymerase I and III subunit Rpc40	O94616	IGI	PMID:10628857	PomBase
GO:0005736	RNA polymerase I complex	SPBC14C8.12	rpb8	DNA-directed RNA polymerase I, II and III subunit Rpb8	Q92399	IDA	PMID:10335407,PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBC1718.03	ker1	DNA-directed RNA polymerase I complex subunit Ker1	Q9P7P1	IDA	PMID:15647272,PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBC19C2.03	rpc10	DNA-directed RNA polymerase I, II and III subunit Rpc10	P48011	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBC19C2.03	rpc10	DNA-directed RNA polymerase I, II and III subunit Rpc10	P48011	IGI	PMID:9290054	PomBase
GO:0005736	RNA polymerase I complex	SPBC23G7.15c	rpp202	60S acidic ribosomal protein P2	P17478	IEA	GO_REF:0000117	UniProt
GO:0005736	RNA polymerase I complex	SPBC3B9.07c	rpa43	DNA-directed RNA polymerase I complex subunit Rpa43	O43036	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBC4C3.05c	nuc1	DNA-directed RNA polymerase I complex large subunit Nuc1	P15398	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBP23A10.07	rpa2	DNA-directed RNA polymerase I complex subunit Rpa2	Q9P7X8	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPBP8B7.06	rpp201	60S acidic ribosomal protein A2	P08094	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPCC1020.04c	rpb6	DNA-directed RNA polymerase I, II and III subunit Rpb6	P36595	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPCC1020.04c	rpb6	DNA-directed RNA polymerase I, II and III subunit Rpb6	P36595	IGI	PMID:8088549	PomBase
GO:0005736	RNA polymerase I complex	SPCC1259.03	rpa12	DNA-directed RNA polymerase complex I TFIIS subunit Rpa12	O94703	IDA	PMID:33536435	PomBase
GO:0005736	RNA polymerase I complex	SPCC1259.03	rpa12	DNA-directed RNA polymerase complex I TFIIS subunit Rpa12	O94703	IGI	PMID:11254133	PomBase
GO:0005736	RNA polymerase I complex	SPCC1753.01c	ssb2	single-stranded DNA binding protein Ssb2	Q92373	IDA	PMID:33536435	PomBase
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	SPAC3A12.16c	tim17	TIM23 translocase complex subunit Tim17	P87130	IBA	GO_REF:0000033	GO_Central
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	SPBC1289.09	tim21	TIM23 translocase complex subunit Tim21	O94618	IBA	GO_REF:0000033	GO_Central
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	SPBC17A3.01c	tim50	TIM23 translocase complex subunit Tim50	O13636	IBA	GO_REF:0000033	GO_Central
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	SPBC27.06c	mgr2	TIM23 translocase complex subunit Mgr2	P79082	IBA	GO_REF:0000033	GO_Central
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	SPCC16A11.09c	tim23	TIM23 translocase complex subunit Tim23	Q9USM7	IBA	GO_REF:0000033	GO_Central
GO:0005745	m-AAA complex	SPBC543.09	yta12	mitochondrial m-AAA protease Yta12	Q9HGM3	IBA	GO_REF:0000033	GO_Central
GO:0005760	gamma DNA polymerase complex	SPCC24B10.22	pog1	mitochondrial DNA polymerase, gamma subunit Pog1	Q12704	IEA	GO_REF:0000002	InterPro
GO:0005762	mitochondrial large ribosomal subunit	SPAC12G12.08	mrpl6	mitochondrial ribosomal protein subunit L6	Q09865	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC1486.07c	mrpl19	mitochondrial ribosomal protein subunit L11	Q9UTK2	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC1610.02c	mrpl1	mitochondrial ribosomal protein subunit L1	Q9P6M9	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC1952.14c	mrpl25	mitochondrial ribosomal protein subunit L59	Q9UUJ5	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC31A2.03	mrp11	mitochondrial ribosomal protein subunit L10	Q09724	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC31A2.08	mrp20	mitochondrial ribosomal protein subunit L23	Q09727	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC343.02	img1	mitochondrial ribosomal protein subunit L19	Q9UT87	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC3A12.19	mrpl27	mitochondrial ribosomal protein subunit L41	Q5WRL1	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAC3H8.03	img2	mitochondrial ribosomal protein subunit L49	Q10139	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPAC4F8.02c	mrpl40	mitochondrial ribosomal protein subunit L24	O14178	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPAC4F8.05c	mrpl28	mitochondrial ribosomal protein subunit L40	O14181	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPAC644.17c	mrpl9	mitochondrial ribosomal protein subunit L3	Q9P6P6	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPAP19A11.05c	mrp7	mitochondrial ribosomal protein subunit L27	Q9HDV5	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC1105.03c	mrpl16	mitochondrial ribosomal protein subunit L16	Q9Y822	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC1271.13	mrpl8	mitochondrial ribosomal protein subunit L17	O94345	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC14C8.10	mrpl24	mitochondrial ribosomal protein subunit L28	O60091	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC1539.01c	mrpl15	mitochondrial ribosomal protein subunit L57	Q9Y7Z7	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC1604.13c	mrpl32	mitochondrial ribosomal protein subunit L32	O94379	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC16G5.04	mrpl23	mitochondrial ribosomal protein subunit L13	O60118	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC1711.18	tam9	mitochondrial ribosomal protein subunit L31	G2TRQ8	ISO	PMID:21270388	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC18H10.17c	mhr1	mitochondrial ribosomal protein subunit L67	O60147	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC19C2.12	mrpl51	mitochondrial ribosomal protein subunit L43	Q9UUC8	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC21C3.04c	mrx14	mitochondrial ribosomal protein subunit L34	Q9P7L9	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC2D10.08c	yml6	mitochondrial ribosomal protein subunit L4	O74801	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC2F12.02c	mrpl7	mitochondrial ribosomal protein subunit L5	O14337	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC2F12.10	mrpl35	mitochondrial ribosomal protein subunit L38	O14341	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC3B9.14c	mrpl3	mitochondrial ribosomal protein subunit L44	O43042	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC4F6.08c	mrpl39	mitochondrial ribosomal protein subunit L33	O74394	ISS	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC56F2.14	mrpl44	mitochondrial ribosomal protein subunit L53	P62506	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC83.06c	rtc6	mitochondrial ribosomal protein subunit L36	O94690	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC887.07	mrpl38	mitochondrial ribosomal protein subunit L14	O94292	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBC8D2.23	new15	mitochondrial ribosomal protein subunit L35	G2TRP2	ISM	PMID:21270388	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPBC9B6.06	mrpl10	mitochondrial ribosomal protein subunit L15	Q9Y7M5	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPBP4H10.15	aco2	mitochondrial ribosomal protein subunit L21/aconitate hydratase, fusion protein	Q9P7D4	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPCC126.05c	mrpl17	mitochondrial ribosomal protein subunit L46	O94398	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPCC1393.11	mrpl20	mitochondrial ribosomal protein subunit L58	O94723	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPCC1442.19	mrp49	mitochondrial ribosomal protein subunit Mrp49	C6Y4D2	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPCC16A11.11	mrpl31	mitochondrial ribosomal protein subunit L60	Q9UR27	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPCC16C4.15	rml2	mitochondrial ribosomal protein subunit L2	Q9Y7P4	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPCC1739.02c	mrpl22	mitochondrial ribosomal protein subunit L22	O74464	IBA	GO_REF:0000033	GO_Central
GO:0005762	mitochondrial large ribosomal subunit	SPCC1919.08c	mrpl33	mitochondrial ribosomal protein subunit L30	O59856	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPCC24B10.04	mrpl50	mitochondrial ribosomal protein subunit L50	Q9P7K1	ISO	GO_REF:0000024	PomBase
GO:0005762	mitochondrial large ribosomal subunit	SPCC4B3.09c	mrpl12	mitochondrial ribosomal protein subunit L12	Q9USJ9	IBA	GO_REF:0000033	GO_Central
